time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
10,LA,20,10,3,1173.0,10.0502,2
10,LA,20,10,4,1355.0,0.7195,4
10,LA,30,10,0,1784.0,0.6723,4
10,LA,30,10,1,1850.0,3.6533,4
10,LA,30,10,2,1719.0,1.1846,4
10,LA,30,10,3,1721.0,4.819,4
10,LA,30,10,4,1888.0,1.268,4
10,LA,15,15,0,1268.0,1.8219,4
10,LA,15,15,1,1397.0,0.3305,4
10,LA,15,15,2,1220.0,10.0489,2
10,LA,15,15,3,1233.0,1.0044,4
10,LA,15,15,4,1222.0,10.042,2
10,FT,6,6,0,55.0,0.0263,4
10,FT,10,10,0,930.0,3.1292,4
10,FT,20,5,0,1165.0,0.6048,4
10,ORB,10,10,0,1059.0,7.8476,4
10,ORB,10,10,1,888.0,0.5464,4
10,ORB,10,10,2,1005.0,8.1605,4
10,ORB,10,10,3,1005.0,1.1713,4
10,ORB,10,10,4,887.0,1.0208,4
10,ORB,10,10,5,1010.0,5.2256,4
10,ORB,10,10,6,397.0,0.7395,4
10,ORB,10,10,7,899.0,0.0763,4
10,ORB,10,10,8,934.0,0.535,4
10,ORB,10,10,9,944.0,0.3275,4
10,ABZ,10,10,0,1234.0,0.9158,4
10,ABZ,10,10,1,943.0,0.1692,4
10,ABZ,20,15,0,669.0,10.053,2
10,ABZ,20,15,1,683.0,10.0664,2
10,ABZ,20,15,2,712.0,10.0466,2
10,YN,20,20,0,926.0,10.0581,2
10,YN,20,20,1,948.0,9.9366,2
10,YN,20,20,2,919.0,10.0448,2
10,YN,20,20,3,1013.0,10.0464,2
10,SWV,20,10,0,1434.0,10.0794,2
10,SWV,20,10,1,1481.0,10.0485,2
10,SWV,20,10,2,1455.0,10.0444,2
10,SWV,20,10,3,1487.0,10.0064,2
10,SWV,20,10,4,1481.0,9.9112,2
10,SWV,20,15,0,1765.0,10.046,2
10,SWV,20,15,1,1690.0,9.9035,2
10,SWV,20,15,2,1902.0,10.1276,2
10,SWV,20,15,3,1761.0,10.1022,2
10,SWV,20,15,4,1887.0,9.9931,2
10,SWV,50,10,0,3423.0,9.9346,2
10,SWV,50,10,1,3386.0,9.689,2
10,SWV,50,10,2,3473.0,9.8697,2
10,SWV,50,10,3,3245.0,10.1907,2
10,SWV,50,10,4,3209.0,10.0326,2
10,SWV,50,10,5,2924.0,3.2311,4
10,SWV,50,10,6,2794.0,3.7156,4
10,SWV,50,10,7,2852.0,4.1442,4
10,SWV,50,10,8,2843.0,3.9342,4
10,SWV,50,10,9,2823.0,3.5549,4
