benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,15,15,8,rule,single_mc_buffer,simple,SRPT,1997,0.1565,0.0027,58
TA,15,15,8,rule,single_mc_buffer,simple,LRPT,1541,0.1595,0.0029,55
TA,15,15,8,rule,single_mc_buffer,simple,STT,1785,0.1565,0.0031,50
TA,15,15,8,rule,single_mc_buffer,simple,LTT,1573,0.1595,0.0025,65
TA,15,15,8,rule,single_mc_buffer,simple,LOR,1844,0.1545,0.0031,50
TA,15,15,8,rule,single_mc_buffer,simple,MOR,1594,0.1605,0.0029,56
TA,15,15,9,rule,single_mc_buffer,simple,SPT,1697,0.1864,0.0032,58
TA,15,15,9,rule,single_mc_buffer,simple,LPT,1778,0.1635,0.0031,53
TA,15,15,9,rule,single_mc_buffer,simple,SRPT,1702,0.1664,0.0032,52
TA,15,15,9,rule,single_mc_buffer,simple,LRPT,1534,0.1575,0.0027,59
TA,15,15,9,rule,single_mc_buffer,simple,STT,1710,0.1535,0.0031,49
TA,15,15,9,rule,single_mc_buffer,simple,LTT,1581,0.1475,0.0027,55
TA,15,15,9,rule,single_mc_buffer,simple,LOR,1847,0.1605,0.003,53
TA,15,15,9,rule,single_mc_buffer,simple,MOR,1582,0.1515,0.003,51
TA,20,15,0,rule,single_mc_buffer,simple,SPT,1865,0.298,0.0033,91
TA,20,15,0,rule,single_mc_buffer,simple,LPT,2046,0.2771,0.0035,79
TA,20,15,0,rule,single_mc_buffer,simple,SRPT,1977,0.2861,0.0035,82
TA,20,15,0,rule,single_mc_buffer,simple,LRPT,1685,0.312,0.003,103
TA,20,15,0,rule,single_mc_buffer,simple,STT,2017,0.296,0.0033,89
TA,20,15,0,rule,single_mc_buffer,simple,LTT,1570,0.3139,0.003,106
TA,20,15,0,rule,single_mc_buffer,simple,LOR,2092,0.312,0.0036,86
TA,20,15,0,rule,single_mc_buffer,simple,MOR,1665,0.3269,0.003,109
TA,20,15,1,rule,single_mc_buffer,simple,SPT,1667,0.311,0.0032,96
TA,20,15,1,rule,single_mc_buffer,simple,LPT,2069,0.3728,0.0035,107
TA,20,15,1,rule,single_mc_buffer,simple,SRPT,1890,0.305,0.0034,89
TA,20,15,1,rule,single_mc_buffer,simple,LRPT,1707,0.313,0.0032,99
TA,20,15,1,rule,single_mc_buffer,simple,STT,1965,0.294,0.0033,89
TA,20,15,1,rule,single_mc_buffer,simple,LTT,1619,0.303,0.0029,104
TA,20,15,1,rule,single_mc_buffer,simple,LOR,1992,0.295,0.0029,103
TA,20,15,1,rule,single_mc_buffer,simple,MOR,1739,0.3065,0.0027,112
TA,20,15,2,rule,single_mc_buffer,simple,SPT,1802,0.2905,0.0033,89
TA,20,15,2,rule,single_mc_buffer,simple,LPT,2119,0.2857,0.0035,81
TA,20,15,2,rule,single_mc_buffer,simple,SRPT,1821,0.286,0.0038,75
TA,20,15,2,rule,single_mc_buffer,simple,LRPT,1690,0.3132,0.0034,92
TA,20,15,2,rule,single_mc_buffer,simple,STT,1880,0.297,0.0034,87
TA,20,15,2,rule,single_mc_buffer,simple,LTT,1598,0.289,0.003,96
TA,20,15,2,rule,single_mc_buffer,simple,LOR,1957,0.29,0.0038,77
TA,20,15,2,rule,single_mc_buffer,simple,MOR,1642,0.2651,0.0027,98
