benchmark,job_n,mc_n,instance_i,agent_type,action_type,rule,makespan,time
TA,20,15,6,rule,buffer,LTT,1862,0.2352
TA,20,15,6,rule,buffer,MOR,1761,0.2352
TA,20,15,6,rule,buffer,FDD/MWKR,1816,0.2352
TA,20,15,6,rule,buffer,LRPT,1804,0.2352
TA,20,15,6,rule,buffer,SPT,2059,0.2352
TA,20,15,7,rule,buffer,LTT,1732,0.2462
TA,20,15,7,rule,buffer,MOR,1848,0.2462
TA,20,15,7,rule,buffer,FDD/MWKR,1684,0.2462
TA,20,15,7,rule,buffer,LRPT,1751,0.2462
TA,20,15,7,rule,buffer,SPT,1808,0.2462
TA,20,15,8,rule,buffer,LTT,1569,0.2502
TA,20,15,8,rule,buffer,MOR,1643,0.2502
TA,20,15,8,rule,buffer,FDD/MWKR,1590,0.2502
TA,20,15,8,rule,buffer,LRPT,1667,0.2502
TA,20,15,8,rule,buffer,SPT,1789,0.2502
TA,20,15,9,rule,buffer,LTT,1634,0.236
TA,20,15,9,rule,buffer,MOR,1683,0.236
TA,20,15,9,rule,buffer,FDD/MWKR,1611,0.236
TA,20,15,9,rule,buffer,LRPT,1689,0.236
TA,20,15,9,rule,buffer,SPT,1710,0.236
TA,20,20,0,rule,buffer,LTT,2005,0.3438
TA,20,20,0,rule,buffer,MOR,1917,0.3438
TA,20,20,0,rule,buffer,FDD/MWKR,1930,0.3438
TA,20,20,0,rule,buffer,LRPT,2044,0.3438
TA,20,20,0,rule,buffer,SPT,2175,0.3438
TA,20,20,1,rule,buffer,LTT,1885,0.3547
TA,20,20,1,rule,buffer,MOR,1915,0.3547
TA,20,20,1,rule,buffer,FDD/MWKR,1956,0.3547
TA,20,20,1,rule,buffer,LRPT,1914,0.3547
TA,20,20,1,rule,buffer,SPT,1965,0.3547
TA,20,20,2,rule,buffer,LTT,1931,0.3876
TA,20,20,2,rule,buffer,MOR,1818,0.3876
TA,20,20,2,rule,buffer,FDD/MWKR,1833,0.3876
TA,20,20,2,rule,buffer,LRPT,1983,0.3876
