benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,30,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2334,12.8181,0.0328,391
TA,30,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2290,14.4151,0.0343,420
TA,50,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2978,24.0954,0.0348,693
TA,50,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2927,24.6223,0.0365,675
TA,50,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2854,24.2501,0.0346,701
TA,50,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2863,24.1241,0.036,671
TA,50,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2794,24.2911,0.0351,693
TA,50,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2929,24.3584,0.0359,678
TA,50,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3018,22.7304,0.0345,658
TA,50,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2952,24.7052,0.0356,693
TA,50,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2948,23.768,0.0343,693
TA,50,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2828,24.7816,0.0362,685
TA,50,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3044,30.7801,0.0365,843
TA,50,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3176,30.1033,0.036,837
TA,50,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3103,31.8926,0.0376,849
TA,50,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2862,30.9484,0.0364,850
TA,50,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3138,30.9841,0.0365,848
TA,50,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3146,31.0772,0.0373,834
TA,50,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3030,30.3453,0.0367,827
TA,50,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3017,30.8817,0.0368,840
TA,50,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3367,30.5652,0.0373,820
TA,50,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3240,30.2367,0.0368,822
TA,100,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5533,104.7831,0.0547,1915
TA,100,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5430,105.3282,0.0547,1926
